programmes,desc,target,link,org
RSVP Senior Volunteer Training Centre (SVTC),"RSVP Singapore Volunteer Learning Centre (VLC), previously known as Senior Volunteer Training Centre, was inaugurated in 2012 with the goal to facilitate transformational learning where senior volunteers acquire new skills that will empower them to leverage their lived experience to influence, engage and serve the community.",Senior volunteers,http://www.rsvp.org.sg/,RSVP Singapore
RSVP Silver IT Care,"RSVP Silver IT Care aims to impart basic skills and knowledge to seniors in carrying out routine housekeeping and general maintenance of computers. Seniors are also encouraged to form small self -help groups or communities among themselves to keep one another updated and to share knowledge on best practices in computer maintenance.  After gaining the maintenance knowledge, they are able to resolve simple IT issues and problems by themselves and enjoy the full benefits that IT can bring them.",Senior citizens,http://www.rsvp.org.sg/,RSVP Singapore
S3 Caregivers Programme,"Stroke Support Station (S3) focus on providing for the stroke survivors, their families, caregivers, domestic helpers and the extended stroke community. [By Stroke Support Station Ltd (S3)]",Caregivers of stroke patients,http://www.s3.org.sg/,Enabling Village
S3 iEmpowerment Programme,"iEmpowerment programme is a practical approach for participants to take control of their circumstances, exercise power and achieve their own goals, and in the process, they are able to help themselves and others to optimise their quality of lives. The programme would equip participants with knowledge which enables them to cope with ups and downs of daily living. It also encourages sharing of experiences.  [By Stroke Support Station Ltd (S3)]",Stroke Patients,http://www.s3.org.sg/,Enabling Village
S3 R.E.A.L Programme,"Stroke Support Station Ltd (S3) feels that while the most apparent impact of stroke might be mobility, there is a need to address the impact of stroke on their socio-emotional and psychological needs. Therefore, befores physical improvement/maintenance programme, there is also daily living activities, show and tell, mood, behavior and cognition programme, mental wellnss programme and education.",Stroke patients,http://www.s3.org.sg/,Enabling Village
SACA Befriending Programme,Singapore After-Care Association (SACA) recruit and train Volunteer After-Care Officers (VAOs) to provide one-to-one befriending to show their clients that society cares for them and that they are returning as accepted members of the community,Childrens of incarcerated mothers and their caregivers,http://www.saca.org.sg/,Singapore After-Care Assn
SACA Call-in/Walk-in Centre,"At Singapore After-Care Association (SACA), they function as a call-in/drop-in centre providing services that include:",Counselling,http://www.saca.org.sg/,Singapore After-Care Assn
SACA Case Management,"Singapore After-Care Association (SACA) case managers in the Case Management Programme team provide individualised case management and counselling services to clients and their families, with the intention of addressing clients’ criminogenic needs. It is hoped that this will assist with minimising the cycle of reoffending for clients.","Clients on both Community-Based Sentencing and Direct Release programmes, and their families",http://www.saca.org.sg/,Singapore After-Care Assn
SACA Education Support Programme (ESP),Singapore After-Care Association (SACA) Education Support Programme (ESP) provides holistic support for student-clients through the Education Support Programme with the hope that they remain motivated and focused till the successful completion of their studies.,Ex-offenders,http://www.saca.org.sg/,Singapore After-Care Assn
SACA Research,Singapore After-Care Association (SACA) have undertaken research as part of an initiative of the CARE Network focusing on gaining a better understanding of existing local and overseas studies relevant to the sector. Additionally SACA will undertake to conduct research in areas that are of particular importance to the Network,Professionals and volunteers in the aftercare sector,http://www.saca.org.sg/,Singapore After-Care Assn
SACA Training,Singapore After-Care Association (SACA) plays an active role in coordinating and facilitating training in partnership with the Singapore Prison Service for all volunteers and professionals working within the aftercare sector.,Professionals and volunteers involved in aftercare of ex-offenders,http://www.saca.org.sg/,Singapore After-Care Assn
SACA Volunteer Aftercare Programme,"Singapore After-Care Association (SACA) recruit and train Volunteer After-Care Officers (VAOs) to assist their clients under their Volunteer After-Care Programme, complementing other initiatives for ex-offenders and their families conducted by SACA's full-time social workers and case managers.",Offenders/ex-offenders and their families,http://www.saca.org.sg/,Singapore After-Care Assn
SACAC Counseling,"Singapore American Community Action Council (SACAC) Counseling provides counselling and psychotherapy support to individuals (from preschool children to adults), couples and families, using a range of modalities, to help them cope with their challenges. SACAC also offer a very wide range of psychometric and personality assessments for both children and adults.","Individuals (from pre school children to adults), couples and families",https://www.sacac.sg/,SACAC Counselling
SACS Anglican Care Centre (Farrer Park),SACS Anglican Care Centre (Farrer Park)  [by Singapore Anglican Community Services can house 60 adults and 20 youths aged 16 to 21 who need temporary accommodation and are ready to live independently in the community.(SACS)],Persons with mental health issues looking to be employed,http://sacs.org.sg/,SACS Anglican Care Centre (Farrer Park)
SACS CRSS (Bukit Batok),"Counselling, training and support services are made accessible to PMHI and caregivers at their place of residence through Community Rehabilitation and Support Service (CRSS) Bukit Batok mobile teams of professionals.",Persons with mental health issues and their caregivers,http://sacs.org.sg/,Anglican Care Centre (Bukit Batok)
SACS CRSS (Pasir-Ris),"Counselling, training and support services are made accessible to PMHI and caregivers at their place of residence through Community Rehabilitation and Support Service (CRSS) Pasir Ris mobile teams of professionals.",Persons with mental health issues and their caregivers,http://sacs.org.sg/,Anglican Care Centre (Pasir Ris)
SACS CRSS (Yishun),"Counselling, training and support services are made accessible to PMHI and caregivers at their place of residence through Community Rehabilitation and Support Service (CRSS) Yishun mobile teams of professionals.",Persons with mental health issues and their caregivers,http://sacs.org.sg/,Anglican Care Centre (Yishun)
SACS Day Rehabilitation (Bukit Batok),"Singapore Anglican Community Services (SACS)  Day Rehabilitation (Bukit Batok) offers a wide range of structured rehabilitation programmes are available to support PMHI in the recovery process through practical life skills training, and social and recreational activities. Professional case managers work closely with PMHI to achieve rehabilitation goals and recovery.",Persons with mental health issues,http://sacs.org.sg/,Anglican Care Centre (Bukit Batok)
SACS Day Rehabilitation (Hougang),Singapore Anglican Community Services (SACS) Anglican Care Centre (Hougang) offers short term residential care is provided for PMHI in a therapeutic environment to support their recovery process. Rehabilitation programmes are designed to develop their independent living skills and prepare them to reintegrate back to the community.,Persons with mental health issues,http://sacs.org.sg/,Anglican Care Centre (Hougang)
SACS Day Rehabilitation (Pasir-Ris),"SACS Day Rehabilitation (Pasir-Ris) offers a wide range of structured rehabilitation programmes are available to support PMHI in the recovery process through practical life skills training, and social and recreational activities. Professional case managers work closely with PMHI to achieve rehabilitation goals and recovery.",Persons with mental health issues,http://sacs.org.sg/,Anglican Care Centre (Pasir Ris)
